tick,agent,x,y,z
206,Elin,4,1,0
206,John,4,2,1
207,Elin,4,1,0
207,John,4,2,1
208,Elin,4,1,0
208,John,4,1,1
209,Elin,4,1,0
209,John,3,1,1
210,Elin,4,1,0
210,John,3,2,1
211,Elin,4,1,0
211,John,2,2,1
212,Elin,4,1,0
212,John,3,2,1
213,Elin,4,1,0
213,John,4,2,1
214,Elin,4,1,0
214,John,4,2,1
215,Elin,4,1,0
215,John,4,2,1
216,Elin,4,1,0
216,John,4,1,1
217,Elin,4,1,0
217,John,3,1,1
218,Elin,4,1,0
218,John,3,2,1
219,Elin,4,1,0
219,John,3,1,1
220,Elin,4,1,0
220,John,2,1,1
221,Elin,4,1,0
221,John,3,1,1
222,Elin,4,1,0
222,John,4,1,1
223,Elin,4,1,0
223,John,4,2,1
224,Elin,4,1,0
224,John,4,2,1
225,Elin,4,1,0
225,John,4,2,1
226,Elin,4,1,0
226,John,4,1,1
227,Elin,4,1,0
227,John,3,1,1
228,Elin,4,1,0
228,John,2,1,1
229,Elin,4,1,0
229,John,3,1,1
230,Elin,4,1,0
230,John,4,1,1
231,Elin,4,1,0
231,John,4,2,1
232,Elin,4,1,0
232,John,4,2,1
233,Elin,4,1,0
233,John,4,2,1
234,Elin,4,1,0
234,John,3,2,1
235,Elin,4,1,0
235,John,2,2,1
236,Elin,4,1,0
236,John,3,2,1
237,Elin,4,1,0
237,John,4,2,1
238,Elin,4,1,0
238,John,4,2,1
239,Elin,4,1,0
239,John,4,2,1
240,Elin,4,1,0
240,John,4,1,1
241,Elin,4,1,0
241,John,3,1,1
242,Elin,4,1,0
242,John,3,0,1
243,Elin,4,1,0
243,John,4,0,1
244,Elin,4,1,0
244,John,4,1,1
245,Elin,4,1,0
245,John,3,1,1
246,Elin,4,1,0
246,John,3,2,1
247,Elin,4,1,0
247,John,4,2,1
248,Elin,4,1,0
248,John,4,1,1
249,Elin,4,1,0
249,John,3,1,1
250,Elin,4,1,0
250,John,3,2,1
251,Elin,4,1,0
251,John,2,2,1
252,Elin,4,1,0
252,John,3,2,1
253,Elin,4,1,0
253,John,4,2,1
254,Elin,4,1,0
254,John,4,2,1
255,Elin,4,1,0
255,John,4,2,1
256,Elin,4,1,0
256,John,4,1,1
257,Elin,4,1,0
257,John,4,0,1
258,Elin,4,1,0
258,John,4,1,1
259,Elin,4,1,0
259,John,3,1,1
260,Elin,4,1,0
260,John,3,2,1
261,Elin,4,1,0
261,John,4,2,1
262,Elin,4,1,0
262,John,3,2,1
263,Elin,4,1,0
263,John,3,1,1
264,Elin,4,1,0
264,John,3,2,1
265,Elin,4,1,0
265,John,2,2,1
266,Elin,4,1,0
266,John,3,2,1
267,Elin,4,1,0
267,John,4,2,1
268,Elin,4,1,0
268,John,4,2,1
269,Elin,4,1,0
269,John,4,2,1
270,Elin,4,1,0
270,John,4,1,1
271,Elin,4,1,0
271,John,4,0,1
272,Elin,4,1,0
272,John,4,1,1
273,Elin,4,1,0
273,John,4,2,1
274,Elin,4,1,0
274,John,3,2,1
275,Elin,4,1,0
275,John,4,2,1
276,Elin,4,1,0
276,John,4,1,1
277,Elin,4,1,0
277,John,4,0,1
278,Elin,4,1,0
278,John,4,1,1
279,Elin,4,1,0
279,John,4,0,1
280,Elin,4,1,0
280,John,4,1,1
281,Elin,4,1,0
281,John,4,2,1
282,Elin,4,1,0
282,John,3,2,1
283,Elin,4,1,0
283,John,4,2,1
284,Elin,4,1,0
284,John,3,2,1
285,Elin,4,1,0
285,John,4,2,1
286,Elin,4,1,0
286,John,4,1,1
287,Elin,4,1,0
287,John,4,2,1
288,Elin,4,1,0
288,John,3,2,1
289,Elin,4,1,0
289,John,4,2,1
290,Elin,4,1,0
290,John,3,2,1
291,Elin,4,1,0
291,John,4,2,1
292,Elin,4,1,0
292,John,4,1,1
293,Elin,4,1,0
293,John,4,2,1
294,Elin,4,1,0
294,John,3,2,1
295,Elin,4,1,0
295,John,4,2,1
296,Elin,4,1,0
296,John,3,2,1
297,Elin,4,1,0
297,John,4,2,1
298,Elin,4,1,0
298,John,4,1,1
299,Elin,4,1,0
299,John,4,0,1
300,Elin,4,1,0
300,John,4,1,1
301,Elin,4,1,0
301,John,4,2,1
302,Elin,4,1,0
302,John,4,1,1
303,Elin,4,1,0
303,John,4,0,1
304,Elin,4,1,0
304,John,4,0,1
305,Elin,4,1,0
305,John,4,0,1
306,Elin,4,1,0
306,John,4,0,1
307,Elin,4,1,0
307,John,4,0,1
308,Elin,4,1,0
308,John,4,0,1
309,Elin,4,1,0
309,John,4,0,1
310,Elin,4,1,0
310,John,4,1,1
311,Elin,4,1,0
311,John,4,2,1
312,Elin,4,1,0
312,John,4,1,1
313,Elin,4,1,0
313,John,4,0,1
314,Elin,4,1,0
314,John,4,1,1
315,Elin,4,1,0
315,John,4,2,1
316,Elin,4,1,0
316,John,3,2,1
317,Elin,4,1,0
317,John,4,2,1
318,Elin,4,1,0
318,John,3,2,1
319,Elin,4,1,0
319,John,3,1,1
320,Elin,4,1,0
320,John,4,1,1
321,Elin,4,1,0
321,John,4,0,1
322,Elin,4,1,0
322,John,4,1,1
323,Elin,4,1,0
323,John,4,2,1
324,Elin,4,1,0
324,John,4,1,1
325,Elin,4,1,0
325,John,4,0,1
326,Elin,4,1,0
326,John,4,1,1
327,Elin,4,1,0
327,John,4,2,1
328,Elin,4,1,0
328,John,3,2,1
329,Elin,4,1,0
329,John,2,2,1
330,Elin,4,1,0
330,John,3,2,1
331,Elin,4,1,0
331,John,4,2,1
332,Elin,4,1,0
332,John,4,1,1
333,Elin,4,1,0
333,John,4,0,1
334,Elin,4,1,0
334,John,3,0,1
335,Elin,4,1,0
335,John,4,0,1
336,Elin,4,1,0
336,John,4,1,1
337,Elin,4,1,0
337,John,3,1,1
338,Elin,4,1,0
338,John,3,2,1
339,Elin,4,1,0
339,John,4,2,1
340,Elin,4,1,0
340,John,4,1,1
341,Elin,4,1,0
341,John,4,0,1
342,Elin,4,1,0
342,John,4,1,1
343,Elin,4,1,0
343,John,3,1,1
344,Elin,4,1,0
344,John,2,1,1
345,Elin,4,1,0
345,John,1,1,1
346,Elin,4,1,0
346,John,2,1,1
347,Elin,4,1,0
347,John,3,1,1
348,Elin,4,1,0
348,John,4,1,1
349,Elin,4,1,0
349,John,4,2,1
350,Elin,4,1,0
350,John,4,2,1
351,Elin,4,1,0
351,John,4,2,1
352,Elin,4,1,0
352,John,3,2,1
353,Elin,4,1,0
353,John,3,1,1
354,Elin,4,1,0
354,John,2,1,1
355,Elin,4,1,0
355,John,1,1,1
356,Elin,4,1,0
356,John,2,1,1
357,Elin,4,1,0
357,John,3,1,1
358,Elin,4,1,0
358,John,4,1,1
359,Elin,4,1,0
359,John,4,2,1
